address,area,Sum of avg_order_value,Sum of customer_id,customer_name,customer_segment,email,Sum of phone,Sum of pincode,Year,Quarter,Month,Day,Sum of total_orders
"71/96, Amble Circle, Panvel-979863",Etawah,1412.4,35156679,Chakradev Verma,Premium,vincent13@example.com,910123070760,954583,2024,Qtr 1,January,7,8
"710
Sant Zila, Howrah 712153",Sikar,462.66,96640716,Yatan Varughese,New,vedachopra@example.net,912831619158,505940,2024,Qtr 4,October,15,16
"712
Kamdar Path, Raipur-299266",Haldia,554.65,73735548,Ishanvi Bala,Premium,praneelgolla@example.com,919105014487,567104,2023,Qtr 2,June,11,7
"714
Choudhury Chowk, Chinsurah 000605",Morbi,911.74,99156138,Yatin Hayer,Regular,raghavangaurang@example.com,915136640663,906839,2023,Qtr 2,June,10,19
"716
Borra Chowk, Bokaro 793011",Howrah,283.63,62828341,Darika Deol,Inactive,xbakshi@example.net,916647216602,460118,2024,Qtr 2,June,27,20
"716, Kalita Path, Srinagar 803059",Ulhasnagar,988.63,45708879,Girindra Majumdar,Regular,faraj30@example.net,917578551021,25486,2024,Qtr 1,March,11,20
"717, Bahri Zila
Mau 600591",Dehri,700.22,98858383,Janani Gill,Regular,vrinda77@example.org,918703511183,875536,2023,Qtr 4,December,31,3
"72
Keer Road, Gandhidham-879715",Raurkela Industrial Township,340.15,32054313,Jai Char,Regular,rajayutika@example.com,913213214979,537597,2024,Qtr 4,October,3,2
"72
Koshy, Pali 271238",Durgapur,1605.13,74515162,Aarnav Parsa,New,miteshvarghese@example.org,910175896842,233703,2024,Qtr 3,August,19,10
"72, Mannan Circle, Durgapur-415078",Nagaon,1739.04,61877649,Yuvraj Roy,Premium,fitanvarty@example.net,918160299632,251525,2023,Qtr 4,October,25,12
"72, Saxena Marg
Bellary-326727",Tiruchirappalli,1350.81,1662375,Tanmayi Yohannan,New,indrajitdhillon@example.com,914153204014,783266,2023,Qtr 4,November,18,7
"72/14
Palla Path
Haldia 455745",Ambala,1637.32,90586443,Baljiwan Pandey,New,vmitra@example.org,910869942878,46985,2023,Qtr 3,August,30,2
"72/18, Munshi Zila, Jamalpur 838235",Bhatpara,1036.29,43307488,Jagrati Prabhu,Regular,choudharybalhaar@example.org,915596788472,793361,2023,Qtr 3,August,6,1
"72/19
Sarma
Tinsukia 520475",Karawal Nagar,533.74,78748184,Odika Jain,Regular,eray@example.net,919700695987,273092,2023,Qtr 4,November,22,13
"72/340, Apte Marg
Sambhal-436677",Gandhinagar,544.71,88312515,Kiaan Chhabra,Inactive,peter83@example.com,918683950412,186946,2024,Qtr 1,February,5,10
"72/38
Krish Street, Bijapur-804266",Kota,1694.79,773410,Ladli Saha,New,gautami44@example.net,913650109706,906115,2023,Qtr 2,June,25,13
"72/459
Ranganathan
Baranagar 535808",Jorhat,1341.67,66233704,Adya Wason,Inactive,ibiswas@example.org,911520711439,836682,2024,Qtr 2,May,18,7
"72/674
Bhatnagar Marg, Kochi 818898",Mira-Bhayandar,516.19,14839726,Lohit Lanka,Regular,faris19@example.org,918537203327,615732,2024,Qtr 1,January,24,10
"72/71, Randhawa, Bhubaneswar 329836",Chapra,1326.66,38244021,Samaksh Oza,Inactive,sankaransara@example.net,916953836060,223908,2024,Qtr 2,April,22,13
"72/803, Puri Ganj, Kottayam 970220",Kishanganj,707.15,90902199,Faras Dua,Regular,sairajagopal@example.com,911485483795,502489,2024,Qtr 2,June,27,17
"72/930, Amble Road, Kalyan-Dombivli 395063",Raiganj,1536.28,34095555,Charan Misra,Premium,leena91@example.org,910127468497,561007,2023,Qtr 3,September,7,9
"721, Koshy Ganj
Gulbarga 881971",Bilaspur,845.41,31569754,Edhitha Kumer,Regular,psibal@example.org,913043537177,556983,2024,Qtr 1,February,2,6
"724, Shah, Kishanganj 847017",Kozhikode,1129.76,13850004,Umang Ramakrishnan,Premium,warda08@example.org,911629873465,23455,2023,Qtr 4,December,15,15
"725, Borra Circle, Dhule 475721",Nadiad,1910.25,88550139,Oeshi Kamdar,New,semjanani@example.net,915134360934,703403,2024,Qtr 3,August,11,3
"727, Nanda Street
Karnal-038968",Alwar,1240.91,20496835,Chandresh Panchal,New,qpanchal@example.com,910937177330,476814,2023,Qtr 4,December,1,17
"728, Mishra, Haridwar 182006",Ulhasnagar,1171.6,46699982,Abhiram Sahni,Inactive,vuppal@example.org,916195107374,837587,2023,Qtr 4,October,10,19
"728, Sarna, Katihar-382238",Ghaziabad,1517.34,19581959,Eesha Sahota,Premium,kannanlibni@example.org,912909234221,187788,2023,Qtr 2,April,23,5
"729, Acharya
Unnao 554182",Bulandshahr,1966.02,87160527,Gautam Ravel,New,pandyazaitra@example.org,911325826385,720320,2024,Qtr 4,October,9,6
"73/037
Babu Nagar
Kolkata 428987",Nanded,1474.77,68714053,Max Boase,New,tbutala@example.net,918713599689,861394,2024,Qtr 3,July,19,18
"73/053, Sanghvi Zila
Tirupati 939999",Morena,1999.83,52337289,Pooja Mital,New,jbhargava@example.com,917053948299,913898,2023,Qtr 2,June,16,3
"73/063, Dutt Road
Kishanganj-424784",Dhule,924.9,17805991,Jhalak Rai,New,panditdev@example.net,919260385732,819317,2024,Qtr 2,May,9,10
"73/114
Bhatnagar Ganj, Kozhikode 920406",Eluru,1419.8,40392019,Yashvi Sur,Premium,omamrita@example.net,917523213618,287315,2024,Qtr 1,February,8,8
"73/42
Roy Chowk, Kalyan-Dombivli-725854",Sambalpur,873.53,86067293,Udarsh Gour,Inactive,neelima84@example.net,919571885813,230889,2023,Qtr 2,June,7,4
"73/53, Bahri Road, Vijayanagaram 763383",Tirupati,614.1,64823226,Vasudha Sheth,Premium,ramanathanridhi@example.org,914329260046,611999,2023,Qtr 2,April,8,5
"73/63, Lalla Path
Firozabad 862928",Danapur,1222.25,42208242,Farhan Tata,Regular,dlal@example.org,910990228487,518443,2023,Qtr 4,November,19,19
"73/83
Saran Road
Jamshedpur 954172",Aligarh,416.94,59643062,Reyansh Khatri,Inactive,ishanvisuri@example.org,914280528331,88100,2024,Qtr 3,September,27,11
"73/891
Tailor Nagar
Raiganj-161841",Pune,1734.51,3468355,Chameli Subramanian,New,lekhanarula@example.org,918771303133,427282,2024,Qtr 2,June,2,12
"73/91, Loyal, Kochi 294184",Baranagar,356.96,12832151,Ekavir Bhalla,Inactive,ksehgal@example.net,919566525157,509489,2023,Qtr 3,July,12,16
"730, Krishna Marg, Tiruchirappalli 628526",Uluberia,935.68,38957713,Damyanti Krish,New,xkhatri@example.net,913915566370,3946,2023,Qtr 3,August,5,19
"730, Sama Road, Bhopal-485906",Korba,330.17,74840437,Rachit Arya,Inactive,sarmachatresh@example.net,910841111302,807661,2024,Qtr 1,March,10,1
"734
Shetty Circle
Amravati-970918",Shivpuri,1257.71,67538982,Upma Salvi,Premium,farhanmishra@example.net,915817511922,230324,2023,Qtr 3,August,21,6
"738, Menon Chowk, Tezpur-908744",Machilipatnam,1205.76,59398136,Neelima Lanka,Regular,vasanadugar@example.org,912484999938,460348,2023,Qtr 3,August,24,14
"74
Jaggi Road
Khammam-907374",Rajahmundry,344.08,24621386,Maanav Raghavan,Premium,ramanamika@example.org,918193670473,607110,2023,Qtr 4,November,15,14
"74, Luthra Road
Raurkela Industrial Township 152924",Hosur,446.56,12655794,Teerth Mand,Regular,karavrishti@example.net,916818492918,806093,2024,Qtr 1,March,7,15
"74/583
Kapoor Nagar
Buxar-561567",Ballia,558.66,22321208,Pratyush Bedi,Regular,praneel86@example.net,913108657015,740752,2024,Qtr 4,October,2,18
"74/669
Sundaram
Sambhal 774698",Nadiad,1096.83,50632192,Omkaar Mander,Premium,tanvi84@example.org,912486393527,846443,2023,Qtr 1,March,17,16
"74/730
Zacharia Road, Karawal Nagar-451755",Maheshtala,1783.53,93341057,Ayaan Tiwari,Inactive,nagiyashica@example.net,912233062532,660740,2023,Qtr 4,October,15,20
"74/873
Basu Road
Dindigul 291516",Maheshtala,1794.46,50968312,Idika Chaudhry,Inactive,anirudh02@example.org,913861368124,195956,2024,Qtr 1,February,17,13
"74/94, Badal Nagar, Jalna 695558",Amritsar,432.05,54885705,David Date,Premium,ojasvisandhu@example.com,915698167849,359792,2024,Qtr 1,March,30,13
"74/97, Warrior Ganj
Tadepalligudem 137156",Vadodara,1902.69,1816969,Tejas Pillai,Premium,xsarin@example.org,918471946574,441464,2024,Qtr 1,March,5,2
"74/973
Kashyap Circle
Hapur 323439",Saharsa,1559.22,33331259,Leena Deol,Inactive,nitesh33@example.com,917107649413,14967,2024,Qtr 3,August,7,7
"740, Banerjee Ganj
Mira-Bhayandar 913260",Hospet,1753.39,53557741,Robert Shroff,Inactive,ojas02@example.net,913041694691,407375,2024,Qtr 4,October,30,10
"740, Ramachandran, Shivpuri-023391",Khammam,1769.49,80567870,Andrew Bajaj,Regular,ekavir45@example.org,913353528598,390449,2024,Qtr 2,June,5,1
"745, Mall Street, Tirunelveli-948037",Patna,453.33,13492411,Ekaraj Mahal,Regular,tamanna39@example.net,917878478714,673157,2023,Qtr 3,July,13,8
"748
Kadakia Road
Thiruvananthapuram-244661",Ludhiana,1886.44,93122847,Nachiket Sangha,Regular,ssabharwal@example.org,918977946119,537237,2024,Qtr 3,September,15,12
"75
Bhandari Chowk
North Dumdum 088637",Thiruvananthapuram,513.07,33871107,Aarav Rout,Inactive,vermachaaya@example.com,918142114903,837790,2024,Qtr 4,November,2,8
"75, Dhar
Durg-621338",Loni,467.12,85072416,Brinda Sekhon,New,nayarnathan@example.org,916250194648,973101,2024,Qtr 1,January,3,20
"75, Goel Path, Pimpri-Chinchwad 654563",Bhimavaram,328.57,30788486,Vrishti Mittal,New,madanfaraj@example.org,917284058772,643683,2024,Qtr 1,March,1,11
"75, Iyengar Street, Karaikudi-212227",Deoghar,637.06,63217390,Warinder Sha,Inactive,urishilla57@example.org,914444556532,65670,2023,Qtr 3,July,18,15
"75/184, Apte Ganj, Kurnool 695756",Tadepalligudem,983.94,87823209,Hemang Suri,Inactive,aggarwalwatika@example.net,915979846952,826255,2023,Qtr 2,April,8,18
"75/25, Borde Marg, Maheshtala 940203",Chandigarh,1203.36,40563029,Chandani Rege,Inactive,parsafaraj@example.org,913860638563,24783,2024,Qtr 3,August,23,12
"75/382, Sengupta Ganj
Madurai-669210",Gandhinagar,722.45,31619915,Joshua Trivedi,New,dnair@example.net,912053725463,297641,2024,Qtr 2,June,9,13
"75/418, Sekhon Street
Bhavnagar 719002",Navi Mumbai,961.81,75082508,Omaja Bajwa,Premium,chanchaltara@example.org,914755200709,757007,2024,Qtr 1,January,10,10
"75/48, Sachdeva Ganj, Maheshtala-830521",Sambhal,1623.47,84119685,Harish Aurora,Inactive,csem@example.com,912004888288,487548,2023,Qtr 2,June,9,4
"75/740, Tara Road, Pali 035417",Saharanpur,623.8,1301661,Yashvi Parekh,Inactive,rmanne@example.net,913098824463,524586,2023,Qtr 4,December,26,8
"75/89
Issac Road, Jamalpur-285509",Bellary,1339.75,82359623,Pushti Sangha,Premium,gopalijaya@example.net,912302460025,504776,2023,Qtr 3,August,17,17
"754
Mody Marg
Aligarh-411970",Varanasi,1027.48,82854537,Yauvani Korpal,Inactive,kulkarnidhriti@example.org,919638469412,690385,2024,Qtr 2,May,5,2
"755, Gulati, Mysore 740771",Bongaigaon,1338.69,64497538,Libni Chadha,Premium,vyaswaida@example.net,914625245708,753834,2024,Qtr 1,January,5,13
"756, Anand Chowk, Bhusawal 348094",Tezpur,1938.81,24144240,Charles Parsa,Regular,vasudha38@example.com,913590549557,49861,2023,Qtr 3,September,6,15
"757, Sandhu Street
Nagpur-709424",Ratlam,1413.4,6668498,Bimala Prakash,Inactive,vchander@example.net,911206965311,62592,2024,Qtr 2,May,8,11
"759
Sahni Marg
Parbhani 296580",Adoni,1219.73,71956734,Sneha Chaudhuri,New,kalasaanvi@example.org,912805301886,396862,2024,Qtr 3,July,4,8
"759, Karnik Nagar, Gurgaon 611202",Varanasi,1146.18,17675915,Rayaan Wable,Inactive,warhi45@example.net,916265153831,107960,2024,Qtr 1,January,18,4
"76
Ben Path, Thanjavur-431970",Howrah,748.43,12755730,Indrajit Mahal,Regular,padmanabhanharshil@example.org,911181779895,473540,2023,Qtr 3,August,20,8
"76
Chana Street
Bhimavaram-424017",Ludhiana,1652.89,48409448,Pavani Vaidya,New,varsha47@example.net,913909005984,743825,2024,Qtr 2,May,7,18
"76, Jaggi
Kirari Suleman Nagar-469099",Shimla,993.5,10285414,Meera Nigam,Inactive,priyalanka@example.org,910495654938,186927,2023,Qtr 3,July,13,18
"76/10
Guha Marg, Thiruvananthapuram-148407",Bellary,1567.76,9450435,Sai Chaudhry,Regular,ravalbina@example.com,914134889578,630243,2023,Qtr 4,November,19,1
"76/125, Bora Chowk
Bharatpur-089713",Ramagundam,399.57,8536503,Ubika Om,Regular,daminikala@example.com,911159408273,111678,2023,Qtr 2,April,19,9
"76/26, Hans
Panipat-910815",Junagadh,1326.63,41439103,Ati Wali,Premium,avi82@example.net,919486745671,893610,2024,Qtr 3,September,20,6
"76/44, Lata
Jhansi-232629",Thoothukudi,1023.51,27878182,Qabil Lata,Inactive,aarnav41@example.com,910674077181,474639,2023,Qtr 1,March,30,1
"76/517, Bahri Ganj
Gorakhpur-258199",Dewas,509.41,50088518,Osha Lata,Regular,divyasangha@example.com,910224299838,225890,2023,Qtr 2,May,16,14
"76/579
Doctor, Maheshtala 065837",Jalgaon,1094.35,68906393,Zilmil Ranganathan,Regular,mahalabha@example.net,917094846363,278297,2024,Qtr 2,June,13,13
"76/920
Reddy Ganj, Motihari-005549",Panvel,1286.02,28205701,Vedika D’Alia,Inactive,dhillonthomas@example.com,912668365905,289627,2024,Qtr 4,October,25,10
"763, Ben Zila, Hapur-382162",Hazaribagh,1546.54,39317905,Gagan Garg,New,wvarkey@example.com,913741950298,289050,2024,Qtr 2,May,10,8
"765, Sani Nagar
Fatehpur-530586",Nellore,1614.27,32540616,Jairaj Sehgal,New,bumblaban@example.net,919482516095,40785,2024,Qtr 1,March,21,5
"77
Konda Street
South Dumdum-782739",Allahabad,206.87,21573815,Urvashi Dalal,Premium,rajagopalmanthan@example.net,916215015040,583410,2023,Qtr 3,September,26,2
"77
Mishra Street, Bhatpara-089042",Aurangabad,1043.7,68341636,Hemani Mannan,Premium,patrick94@example.com,917114609010,778819,2024,Qtr 3,August,27,19
"77
Mistry Ganj, Unnao-632141",Berhampur,783.03,51040116,Inaya Pillai,Regular,wyattsavant@example.com,912195862964,595645,2023,Qtr 4,November,14,11
"77, Dhar Zila
Kozhikode-400515",Durgapur,245.16,31718565,Andrew Wable,Regular,jackson06@example.org,913875006343,16828,2024,Qtr 2,May,29,6
"77, Gera Road
Anand 087192",Bangalore,204.58,22112867,Sanaya Chakrabarti,Regular,anay97@example.net,912480017449,609126,2024,Qtr 3,August,2,6
"77, Mital Path
Rajahmundry 334280",Bardhaman,1175.7,27504517,Rayaan Gupta,New,tailorsimon@example.org,918679065841,833561,2023,Qtr 2,June,30,18
"77/335, Vig Chowk
Karaikudi-226233",Kakinada,1484.06,25981385,Chasmum Deol,New,kala09@example.com,912395846999,361736,2023,Qtr 4,October,7,15
"77/42, Buch Circle, Kharagpur 515901",Ratlam,1830.13,31527100,Triya Tailor,Inactive,kamalasankaran@example.org,915113709301,816490,2023,Qtr 4,November,21,12
"77/806, Sethi Nagar
Phusro-516017",Vijayawada,1175.38,59190584,Xiti Tata,Premium,jgolla@example.com,912224721462,483920,2024,Qtr 2,May,19,6
"77/881, Mitra Street
Erode 449182",Nandyal,1350.67,69925688,Yashica Sehgal,Inactive,igola@example.net,916177443666,920703,2024,Qtr 1,February,25,20
"770
Yohannan Path
Sultan Pur Majra-654003",Gaya,903.37,56780331,Vinaya Atwal,Premium,niharikasuresh@example.net,919007432418,980372,2024,Qtr 2,April,18,8
"770, Oommen
Orai-371934",Bathinda,1530.27,3100301,Wazir Saini,New,ishani86@example.com,915270787774,892652,2023,Qtr 2,June,19,1
"771, Balakrishnan Street, Madhyamgram-423100",Rajkot,1297.04,89998489,Logan Bhasin,Premium,chadaforum@example.org,916850875734,332156,2024,Qtr 4,October,26,19
"772, Master Nagar, Belgaum 984907",Patiala,536.98,60379302,Raksha Chand,New,bchar@example.net,910354708884,998032,2023,Qtr 3,July,14,7
"775, Nayak Street, Patna-218169",Khandwa,1859.93,89910157,Dayamai Ray,New,jdate@example.com,912655185000,166001,2023,Qtr 1,March,19,5
"78
Chanda Nagar, Gaya-166936",Gudivada,1941.44,82918668,Harita Nagy,Regular,shahadvaith@example.com,915965284189,244426,2024,Qtr 3,August,8,18
"78
Chaudhuri Marg, Phusro 720202",Junagadh,1895.04,81462774,Ishaan Sarkar,Regular,bdara@example.net,912543113443,513437,2024,Qtr 1,March,13,12
"78
Jha Zila
Chandrapur 263897",Vijayawada,448.81,4758426,Qushi Dash,New,contractorurishilla@example.org,916166771196,415274,2024,Qtr 1,January,6,14
"78
Nagi Zila, Jamshedpur-811905",Gandhinagar,1644.51,65618148,Aadhya Palla,Inactive,forumshan@example.org,915697227214,748222,2023,Qtr 1,March,29,9
"78
Nagy Street, Giridih-598307",Allahabad,1065.52,74212242,Netra Kaul,Premium,manya42@example.org,919403832810,725534,2023,Qtr 4,October,12,2
"78, Deshmukh Road, Gulbarga 580534",Karnal,989.8,91973128,Advik Hayre,Premium,guneetwable@example.com,912754727801,645358,2024,Qtr 3,July,1,15
"78/349, Som Path
Eluru 767399",Noida,665.46,93675757,Geetika Mander,Regular,cgole@example.com,918688210815,264344,2023,Qtr 4,November,28,10
"78/351, Shenoy Chowk, Maheshtala 333932",Gaya,859.39,84468124,Ishanvi Parmar,Premium,senanmol@example.net,911836790188,311182,2023,Qtr 2,April,20,12
"78/37
Gera Zila, Alappuzha-096565",Lucknow,698.12,19275474,Girik Hora,New,azadchoudhary@example.org,918111503883,916112,2024,Qtr 4,October,22,14
"78/65
Trivedi Road
Chandigarh 042818",Gandhinagar,1673.4,66130660,Lopa Bhasin,New,tanishverma@example.com,913233833271,773293,2024,Qtr 2,April,20,1
"78/69
Majumdar Nagar, Tumkur 014721",Bongaigaon,502.96,59677346,Falak Reddy,Inactive,gopalmody@example.com,914767521220,483994,2024,Qtr 4,November,2,2
"78/80, Venkataraman, Lucknow 671983",Chandigarh,1462.21,96629258,Liam Joshi,Inactive,choudharyelijah@example.net,916067383883,918398,2023,Qtr 3,July,7,14
"78/936
Aurora Road
Vadodara 226991",Kota,952.96,97466783,Harita Mangat,Premium,jagat26@example.org,916726192081,977804,2023,Qtr 2,April,7,8
"782, Golla Ganj
Kottayam-979207",Bathinda,1017.39,10797688,Sudiksha Mannan,New,janigauri@example.net,911173858493,220981,2023,Qtr 2,May,22,7
"783
Nigam Circle, Karawal Nagar-701964",Dehradun,1893.83,1342184,Girish Sem,Inactive,krao@example.com,919414776168,774395,2024,Qtr 4,October,25,20
"783, Handa Marg
Medininagar-040912",Bhatpara,614.48,40305293,Tejas Parmer,Regular,waglevedhika@example.com,918906027615,597677,2024,Qtr 3,September,1,10
"785, Karpe Path
Ramgarh 103332",Chennai,1829.16,79895967,Hema Luthra,Regular,omfalan@example.net,917672848454,715090,2024,Qtr 2,May,5,8
"785, Mital Chowk
Naihati 597518",Siwan,1695.8,4869199,Advik Bajwa,New,mahikakakar@example.org,914975057976,803941,2024,Qtr 4,October,16,7
"787
Bora Circle, Madurai 132549",Phagwara,1573.91,3660263,Jagdish Bains,Regular,qsrinivas@example.org,913911005064,202676,2023,Qtr 2,May,27,10
"79
Bobal, Jaunpur 969256",Raiganj,1748.52,24988999,Yashawini Goyal,Regular,suhani03@example.com,915023212676,72237,2024,Qtr 2,May,12,6
"79
Chowdhury
Mathura-017308",Pondicherry,1758.24,1449273,Forum Deol,New,pgarg@example.org,918190110689,562307,2023,Qtr 4,December,6,12
"79
Sahni Chowk, Nagaon 813383",Bellary,1902.9,6756256,Ijaya Goel,Premium,qsarin@example.org,919023845910,83206,2023,Qtr 3,July,6,13
"79/328
Prakash Zila
Sirsa 377650",Tumkur,1956.57,35278126,Harinakshi Arya,Premium,agara@example.org,914200557657,365840,2023,Qtr 4,December,24,12
"79/36
Rege Ganj, Thanjavur-542580",Visakhapatnam,1355.09,48167795,Charita Kapoor,New,anaybalan@example.net,911562179243,567196,2023,Qtr 4,November,28,13
"79/767, Thaker Marg
Mehsana 184520",Orai,1935.84,25221501,Pratyush De,Regular,royisaac@example.org,912890041263,179348,2023,Qtr 3,September,9,20
"79/84
Randhawa Path
Mehsana 618412",Amroha,532.9,24896263,Nachiket Prasad,Regular,dorafalan@example.net,912360838508,948603,2024,Qtr 2,June,21,13
"79/852
Nadkarni
Panchkula 391511",Darbhanga,229.17,58214883,Udant Grover,Regular,cnarayan@example.com,915768346291,871302,2024,Qtr 2,May,5,11
"79/94, Kuruvilla Road, Bihar Sharif-023568",Bettiah,482.94,67696145,Isaac Rattan,Regular,yuvrajkant@example.net,919860704868,523966,2023,Qtr 2,June,6,18
"790, Tata Marg
Asansol-472717",Patiala,940.85,95382317,Aradhana Sen,New,indiraseshadri@example.com,914150494578,466894,2024,Qtr 2,May,20,14
"792, Murty Chowk, Danapur-524967",Bardhaman,203.02,91768226,Vansha Walia,Regular,bhavikagour@example.net,917679894933,706055,2023,Qtr 4,November,9,11
"794
Grover Chowk, Guntur-757863",Patiala,1749.17,8155924,Suhani Kanda,Regular,srinivasanchanakya@example.net,918668962091,92581,2024,Qtr 1,March,30,10
"80, Kala Nagar, Udaipur-156360",Bahraich,1122.83,60974181,Hardik Kakar,Premium,radharam@example.org,919524312073,118581,2024,Qtr 1,January,22,20
"80/04
Garde Marg, Amaravati 689188",Jammu,1152.02,8733344,Chandani Mishra,Premium,kalitafaraj@example.com,915840260876,100521,2024,Qtr 1,February,2,10
"80/102
Raj Marg, Tadipatri-190103",Karimnagar,1659.88,13604883,Siddharth Kata,Premium,mvaidya@example.com,914260686222,638908,2024,Qtr 3,September,23,17
"80/13, Atwal Ganj, Hubli–Dharwad 554031",Pali,1938.34,16764246,Aarini Dewan,Premium,alkaseshadri@example.net,914240815214,638631,2024,Qtr 3,September,28,1
"80/23, Kashyap Chowk, Nanded-894272",Begusarai,1350.06,9105829,David Gopal,Regular,kdeol@example.org,913163739818,450245,2023,Qtr 3,July,14,11
"80/24
Singhal Path
Anantapur 636515",Jamalpur,1206.26,18791381,Avni Gera,Premium,haritagandhi@example.net,917897866204,585239,2024,Qtr 1,March,2,1
"80/255
Nori Marg
Tinsukia-515901",Bulandshahr,976.81,42872865,Vasatika Chatterjee,Inactive,ishwar92@example.com,918245522185,876401,2023,Qtr 4,October,9,14
"80/32, Acharya Nagar, Bathinda-734196",Bijapur,838.66,53299455,Rushil Gupta,Premium,wcherian@example.org,913502795801,963064,2023,Qtr 2,May,25,7
"80/48, Mangal Nagar, Ratlam-375288",Firozabad,1583.52,38902882,Ria Dugar,Inactive,craval@example.org,912994051106,226571,2024,Qtr 1,March,10,17
"80/56, Parikh Circle, Bhiwandi-904481",Baranagar,805.9,14974554,Kevin Magar,New,frado24@example.org,919658647915,739444,2024,Qtr 4,October,10,9
"80/57, Dara Marg, Bokaro 568451",Khammam,1111.47,60834500,Rishi Jain,Inactive,bathanirudh@example.org,919789512998,487840,2024,Qtr 4,October,28,1
"80/68
Rai Chowk
Dehri-253784",Bhubaneswar,1677.91,20310720,Samaksh Chaudhuri,Regular,cheriankrishna@example.net,918527790158,37268,2023,Qtr 2,April,3,9
"80/775
Varkey Path
Saharanpur-494356",Jalna,856.95,18140588,Orinder Malhotra,Regular,samarth50@example.org,917539612924,895444,2024,Qtr 3,July,4,17
"80/85, Thakkar Circle, Bikaner 110079",Tumkur,973.32,44935198,Chakrika Divan,New,wazirpandit@example.org,918262249067,112464,2023,Qtr 4,December,5,14
"80/915
Pau Nagar
Haridwar-710710",Kochi,415.65,94854830,Aarna Dave,Inactive,michaelmann@example.com,912656646606,194790,2023,Qtr 3,July,27,5
"800
Subramanian Street
Dhule-015954",Mumbai,379.8,99424244,Bhavini Mander,Premium,yashasvipalan@example.net,916324786919,184817,2024,Qtr 1,March,30,15
"800
Sura Marg
Darbhanga 901631",Ozhukarai,566.42,93321933,Xalak Sangha,Inactive,wallawahab@example.net,915009857342,381931,2024,Qtr 1,March,17,10
"804, Prasad Ganj, Gulbarga 969848",Aizawl,1364.51,72495274,Vasatika Amble,New,bhattirishi@example.com,918829664522,945908,2024,Qtr 1,January,30,11
"807
Natarajan Nagar, Karimnagar 936960",Avadi,1935.31,83412446,Libni Kunda,Inactive,deovritti@example.net,911344969697,389792,2023,Qtr 2,May,25,13
"808
Balakrishnan Ganj, Begusarai 914766",Thoothukudi,525.38,45700473,Omkaar Padmanabhan,Inactive,vedantgrover@example.com,914785576484,88698,2023,Qtr 4,December,23,12
"81
Choudhary Street, New Delhi-303095",Machilipatnam,1706.71,72287157,Ekbal Kaur,New,mangaldalaja@example.com,918692700290,289225,2023,Qtr 3,August,29,20
"81
Srivastava Street, Vellore 246419",Moradabad,1090.31,42272393,Anya Parmer,New,dhillonwyatt@example.com,917093981801,915410,2023,Qtr 3,September,21,7
"81, Naik, Dharmavaram-468737",Kurnool,460.65,57956497,Reva Sahota,Inactive,frederick08@example.com,914831674927,2246,2024,Qtr 4,October,5,1
"81/00
Suresh Marg
Faridabad 923920",Deoghar,739.47,7333934,Om Chand,New,gavin45@example.net,910085369768,383021,2023,Qtr 4,December,23,11
"81/284
Gopal Chowk, Rajkot-722713",Guntakal,1516.67,2667357,Nathan Kaul,Premium,godavarenya@example.com,910778074188,819570,2024,Qtr 2,June,13,6
"81/40, Borah Path
Aligarh 096524",Delhi,374.61,60591625,Fitan Kunda,New,gillgunbir@example.net,913802646356,623581,2023,Qtr 3,July,30,8
"81/62
Char Circle, Ramagundam 071898",Gandhidham,329.17,8164639,Pushti Dhillon,Premium,varenya91@example.com,910237840551,975982,2024,Qtr 2,May,27,11
"81/682, Soman Chowk
Adoni 115028",Satara,1412.58,69749541,Ayush Amble,Premium,vedika87@example.net,915599030467,316215,2023,Qtr 2,June,6,1
"81/76, Dutt Ganj
Kulti-598135",Jodhpur,311.25,64298209,Girindra Sangha,Regular,balayvasana@example.org,918297477289,426661,2023,Qtr 2,June,15,10
"812, Dutta Zila, Hindupur-529803",Sikar,1062.57,85763665,Eshana Narula,Premium,lekha86@example.net,914276685424,238167,2024,Qtr 2,June,26,13
"813
Krish Street
Nagpur-312112",Srikakulam,407.03,60495351,Henry Rana,New,ebhakta@example.org,911361289330,246691,2023,Qtr 2,April,24,11
"814
Char Marg
Firozabad 508210",Chittoor,1812.66,94486311,Ladli Mani,New,chatterjeeimaran@example.com,917658449064,320760,2023,Qtr 3,August,17,16
"82, Bhargava Nagar
Kishanganj-297154",Bathinda,1207.51,52770036,Lopa Bobal,New,kashyapthomas@example.org,910663980035,212770,2024,Qtr 3,August,19,14
"82, Garg Zila, Noida-112388",Noida,1430.56,85340038,Faris Oza,Premium,goswamialexander@example.com,911658673204,355666,2023,Qtr 3,August,17,10
"82, Nagi Ganj
Kulti 065984",Bhilwara,1947.79,90298394,Urvashi Oak,Regular,tacharya@example.com,916127998611,744905,2023,Qtr 2,April,22,1
"82, Shroff Street, Pondicherry-654693",Jaunpur,291.96,79257353,Tanvi Wagle,New,duttijaya@example.net,912256866440,524267,2023,Qtr 3,September,24,6
"82/260
Chokshi Ganj
Etawah 946629",Chennai,552.68,59890331,Raagini Badal,Premium,nicholas03@example.com,910650147457,382306,2024,Qtr 4,November,1,16
"82/278
Gokhale Circle, Ghaziabad 086484",Chapra,1060.59,95971469,Rachit Parikh,New,ryansinghal@example.net,917862505672,609861,2024,Qtr 3,September,9,7
